[2022-02-19 22:57:21] MYD04_3K.A2002244.1420.061.2018004071814.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:57:21] MYD04_3K.A2002244.1510.061.2018004071921.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:58:22] MYD04_3K.A2002244.1600.061.2018004071911.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:58:22] MYD04_3K.A2002244.1650.061.2018004072045.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:59:27] MYD04_3K.A2002244.1825.061.2018004072033.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:00:43] MYD04_3K.A2002244.2005.061.2018004072119.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:03:02] MYD04_3K.A2002244.2235.061.2018004072317.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:05:08] MYD04_3K.A2002245.0240.061.2018004072434.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:06:13] MYD04_3K.A2002245.0420.061.2018004072540.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:07:15] MYD04_3K.A2002245.0510.061.2018004072536.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:07:15] MYD04_3K.A2002245.0600.061.2018004072651.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:08:21] MYD04_3K.A2002245.0650.061.2018004072655.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:09:27] MYD04_3K.A2002245.0915.061.2018004072749.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:10:27] MYD04_3K.A2002245.1005.061.2018004072944.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:10:27] MYD04_3K.A2002245.1055.061.2018004072921.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:11:36] MYD04_3K.A2002245.1235.061.2018004073031.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:12:38] MYD04_3K.A2002245.1325.061.2018004073031.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 23:12:38] MYD04_3K.A2002245.1415.061.2018004073202.hdf, error: autodetected range of [nan, nan] is not finite
